episode,score,rolling_avg_score,best_score
421,-243.8999467167741,79.5550773728901,94.61346204389481
422,223.72508178183446,82.6978219854719,94.61346204389481
423,193.73120323095972,82.34145405336054,94.61346204389481
424,31.492255012276757,80.70934542545807,94.61346204389481
425,-98.6080598431752,80.56709601897997,94.61346204389481
426,-131.264337600108,78.98274275435647,94.61346204389481
427,82.93643902504908,81.20343539610529,94.61346204389481
428,0.6603284578367266,82.86997683514865,94.61346204389481
429,153.3880060573709,84.59418381487923,94.61346204389481
430,217.3514077516175,84.51929386822749,94.61346204389481
431,131.08852791371942,83.82529508358911,94.61346204389481
432,267.354493457185,87.93528478394941,94.61346204389481
433,-93.58376203990643,86.9474772431916,94.61346204389481
434,-202.3661868686874,82.53313169729886,94.61346204389481
435,-137.49479723187036,78.58888083439419,94.61346204389481
436,-112.49717362028706,75.49608032439738,94.61346204389481
437,-60.29453796134673,73.04086588186928,94.61346204389481
438,-245.6348704042846,68.23295627895814,94.61346204389481
439,-412.9106267905815,62.28381943992527,94.61346204389481
440,-212.84649486232337,58.074462990337544,94.61346204389481
441,243.83290618234395,58.655743783482315,94.61346204389481
442,-184.11719444480866,56.80008249570108,94.61346204389481
443,268.3853624257664,57.69722661718848,94.61346204389481
444,163.9660094680325,59.54522468142775,94.61346204389481
445,238.20123974904237,59.885807800990804,94.61346204389481
446,-120.83853019376544,56.7141164746188,94.61346204389481
447,221.0740580540878,56.904110276879074,94.61346204389481
448,265.92228566204153,58.04670020948147,94.61346204389481
449,-84.14713418104554,55.14049516220672,94.61346204389481
450,172.4728052369,54.83162585577791,94.61346204389481
451,246.62700727563265,57.26488872800346,94.61346204389481
452,240.4284352432391,61.74247309897149,94.61346204389481
453,187.40586874305905,61.82964980506849,94.61346204389481
454,73.38290251547677,62.45953429103691,94.61346204389481
455,-60.20258380194461,61.39975519332254,94.61346204389481
456,-100.46872102672205,58.8955479457742,94.61346204389481
457,-112.64353436633176,55.838867370575784,94.61346204389481
458,-29.41251730947438,55.429907376462694,94.61346204389481
459,-112.3347809047704,55.720496860735395,94.61346204389481
460,226.76954568554055,56.13365535186505,94.61346204389481
461,-75.90301773113646,52.78150263353485,94.61346204389481
462,157.10732038278405,51.88942772982046,94.61346204389481
463,-90.27602732712263,51.04616771009365,94.61346204389481
464,-128.9645145058917,47.511508994007826,94.61346204389481
465,175.29564674773997,46.841397943312174,94.61346204389481
466,215.88456882023314,48.629843100785294,94.61346204389481
467,297.30339658801546,49.06882640993874,94.61346204389481
468,240.09412333147688,53.3456285614368,94.61346204389481
469,-213.67370188826578,51.378930542711714,94.61346204389481
470,127.01212492634804,52.74585921977674,94.61346204389481
471,-46.11300869629014,52.043954474351985,94.61346204389481
472,-67.85056956689684,51.978068338080696,94.61346204389481
473,-110.25715073093063,51.09798428064928,94.61346204389481
474,155.41916222501,50.43401185084303,94.61346204389481
475,-130.5619033919989,50.44218168640655,94.61346204389481
476,-97.93481150272694,47.56326276116383,94.61346204389481
477,181.6176580078748,47.32885970083044,94.61346204389481
478,226.96229767817195,49.27903462928194,94.61346204389481
479,228.76234715771153,49.57558906761626,94.61346204389481
480,-123.29282941901808,46.59828621313447,94.61346204389481
481,225.89351094977303,51.220783173752096,94.61346204389481
482,-104.91911129760841,50.2694432412258,94.61346204389481
483,208.21858853993587,50.911952552114684,94.61346204389481
484,25.97537731804252,51.516912108897095,94.61346204389481
485,164.12704245386286,50.89722256103706,94.61346204389481
486,234.996376502847,53.39484873762717,94.61346204389481
487,-278.8634755739788,54.651338091315694,94.61346204389481
488,233.07985967150185,55.036287224783166,94.61346204389481
489,-59.19330670684708,55.92159126256401,94.61346204389481
490,171.36913313503874,57.40104825727198,94.61346204389481
491,190.0159521604167,57.180659204379246,94.61346204389481
492,-250.24473754636446,52.368024728161956,94.61346204389481
493,235.25349814588705,52.21845289553315,94.61346204389481
494,237.5184973909216,56.17870552107702,94.61346204389481
495,-87.67957496310541,53.9444045801268,94.61346204389481
496,177.28175971702046,54.66066201382203,94.61346204389481
